代號,名稱,開盤,最高,最低,收盤,成交量
'0050,元大台灣50,81.4,81.4,80.3,80.4,6164
'0050N,TW50淨,0,0,0,0,0
'0051,元大中型100,33.84,33.84,33.47,33.47,25
'0051N,TWMC淨,0,0,0,0,0
'0052,富邦科技,51.7,51.7,51.1,51.1,4
'0052N,TWIT淨,0,0,0,0,0
'0053,元大電子,35.68,35.68,35.39,35.55,30
'0054,元大台商50,24.4,24.4,24.03,24.16,30
'0055,元大MSCI金融,17.37,17.4,17.2,17.29,26
'0056,元大高股息,26.3,26.3,26.01,26.01,5263
'0057,富邦摩台,49.65,49.65,49.31,49.39,11
'0058,富邦發達,47.43,47.61,46.43,46.95,697
'0059,富邦金融,42.66,42.66,41.9,41.9,8
'0061,元大寶滬深,18.51,18.58,18.26,18.39,2550
'006201,元大富櫃50,14.43,14.43,14.31,14.43,25
'006203,元大MSCI台灣,37.88,37.88,37.65,37.65,22
'006204,永豐臺灣加權,54.15,54.15,53.75,53.75,100
'006205,富邦上証,30.99,31,30.64,30.85,4931
'006206,元大上證50,30.94,30.94,30.45,30.55,3625
'006207,FH滬深,23.67,23.67,23.28,23.46,637
'006208,富邦台50,47.16,47.56,47.16,47.16,71
'00625K,富邦上証+R,6.63,6.63,6.59,6.59,66
'00631L,元大台灣50正2,36.3,36.3,35.71,35.77,2187
'00632R,元大台灣50反1,12.7,12.78,12.7,12.77,62423
'00633L,富邦上証正2,40.5,40.69,39.67,40.37,53306
'00634R,富邦上証反1,7.2,7.33,7.2,7.28,957
'00635U,元大S&P黃金,19.9,19.92,19.85,19.86,431
'00636,國泰中國A50,20.05,20.05,19.78,19.94,12053
'00636K,國泰中國A50+U,6.66,6.66,6.66,6.66,20
'00637L,元大滬深300正2,15.37,15.37,15.05,15.3,153826
'00638R,元大滬深300反1,14.9,15.04,14.9,14.93,139
'00639,富邦深100,11.13,11.13,10.97,11.05,4098
'00640L,富邦日本正2,23.41,23.51,23.27,23.35,853
'00641R,富邦日本反1,14.69,14.7,14.62,14.68,1984
'00642U,元大S&P石油,20.51,20.51,20.39,20.44,434
'00643,群益深証中小,15.22,15.22,14.86,15.04,2544
'00643K,群益深証中小+R,3.28,3.28,3.28,3.28,0
'00645,富邦日本,22.06,22.15,22.01,22.09,132
'00646,元大S&P500,24.32,24.36,24.29,24.36,332
'00647L,元大S&P500正2,30.5,30.73,30.41,30.73,61
'00648R,元大S&P500反1,13.7,13.72,13.67,13.71,499
'00649,FH香港,21.85,21.85,21.71,21.75,145
'00650L,FH香港正2,36,36.35,35.4,35.64,114
'00651R,FH香港反1,8.2,8.31,8.2,8.3,624
'00652,富邦印度,22.6,22.65,22.54,22.65,24
