代號,名稱,開盤,最高,最低,收盤,成交量
'0050,元大台灣50,81.8,82.6,81.8,82.6,7066
'0050N,TW50淨,0,0,0,0,0
'0051,元大中型100,34.13,34.25,34.13,34.25,36
'0051N,TWMC淨,0,0,0,0,0
'0052,富邦科技,52,52.4,52,52.25,43
'0052N,TWIT淨,0,0,0,0,0
'0053,元大電子,36.16,36.39,36.16,36.39,25
'0054,元大台商50,24.49,24.73,24.49,24.73,22
'0055,元大MSCI金融,17.37,17.52,17.31,17.52,34
'0056,元大高股息,26.4,26.62,26.4,26.62,2902
'0057,富邦摩台,50.1,50.5,50.1,50.5,3
'0058,富邦發達,47.48,47.84,47.48,47.84,14
'0059,富邦金融,42.44,42.56,42.44,42.56,6
'0061,元大寶滬深,18.55,18.66,18.51,18.59,1051
'006201,元大富櫃50,14.63,14.7,14.6,14.7,25
'006203,元大MSCI台灣,38.13,38.28,38.13,38.28,16
'006204,永豐臺灣加權,54.8,55,54.8,55,18
'006205,富邦上証,31.02,31.2,30.95,31.18,3038
'006206,元大上證50,30.85,31.19,30.81,31.18,624
'006207,FH滬深,23.74,23.8,23.58,23.69,365
'006208,富邦台50,47.64,48.27,47.64,47.92,44
'00625K,富邦上証+R,6.68,6.72,6.68,6.72,75
'00631L,元大台灣50正2,37.06,37.8,37.06,37.8,3272
'00632R,元大台灣50反1,12.54,12.54,12.44,12.44,114912
'00633L,富邦上証正2,41.64,42.67,41.6,42.67,28192
'00634R,富邦上証反1,7.13,7.14,7.1,7.1,197
'00635U,元大S&P黃金,19.75,19.75,19.72,19.73,381
'00636,國泰中國A50,20.14,20.4,20.14,20.4,4099
'00636K,國泰中國A50+U,6.81,6.85,6.81,6.85,2
'00637L,元大滬深300正2,15.77,16.15,15.77,16.15,103552
'00638R,元大滬深300反1,14.6,14.65,14.43,14.43,131
'00639,富邦深100,11.09,11.17,11.09,11.17,2542
'00640L,富邦日本正2,24.36,24.46,24.31,24.38,1068
'00641R,富邦日本反1,14.35,14.36,14.32,14.36,370
'00642U,元大S&P石油,20.2,20.24,20.13,20.17,941
'00643,群益深証中小,14.97,14.99,14.81,14.91,2214
'00643K,群益深証中小+R,3.18,3.18,3.18,3.18,0
'00645,富邦日本,22.61,22.62,22.57,22.6,132
'00646,元大S&P500,24.6,24.61,24.54,24.54,130
'00647L,元大S&P500正2,31.5,31.75,31.5,31.74,5
'00648R,元大S&P500反1,13.49,13.49,13.42,13.43,357
'00649,FH香港,22,22.18,22,22.13,136
'00650L,FH香港正2,37,37.8,37,37.68,69
'00651R,FH香港反1,8.11,8.11,8.01,8.01,202
'00652,富邦印度,22.95,22.95,22.78,22.82,9
'00653L,富邦印度正2,28.62,28.71,28.27,28.4,321
'00654R,富邦印度反1,14.58,14.69,14.57,14.61,54
'00655L,國泰中國A50正2,30.55,31.33,30.53,31.33,16394
'00656R,國泰中國A50反1,13.65,13.68,13.47,13.47,92
'00657,國泰日經225,27.39,27.42,27.34,27.42,45
'00657K,國泰日經225+U,9.21,9.21,9.21,9.21,1
'00658L,國泰日本正2,35.97,36.22,35.97,36.22,49
'00659R,國泰日本反1,12.73,12.73,12.68,12.69,381
'00660,元大歐洲50,24.75,24.75,24.75,24.75,1
'00661,元大日經225,27.83,27.83,27.83,27.83,0
'00662,富邦NASDAQ,28.87,28.98,28.87,28.98,10
'00663L,國泰臺灣加權正2,35.13,35.79,35.13,35.79,144
'00664R,國泰臺灣加權反1,14.15,14.15,14.02,14.02,5132
'00665L,富邦恒生國企正2,33.5,34.2,33.5,34.17,485
'00666R,富邦恒生國企反1,12.7,12.77,12.69,12.69,36
'00667,元大韓國,24,24.03,24,24.02,44
'00668,國泰美國道瓊,25.74,25.74,25.59,25.74,58
'00668K,國泰美國道瓊+U,8.63,8.63,8.63,8.63,1
'00669R,國泰美國道瓊反1,13.85,13.85,13.79,13.8,240
'00670L,富邦NASDAQ正2,32.68,32.85,32.67,32.82,300
'00671R,富邦NASDAQ反1,14.32,14.32,14.28,14.31,325
'00672L,元大S&P原油正2,23.66,23.73,23.51,23.61,10205
'00673R,元大S&P原油反1,14.87,14.91,14.85,14.9,4155
'00674R,元大S&P黃金反1,19.28,19.32,19.28,19.32,66
'00675L,富邦臺灣加權正2,15.18,15.47,15.18,15.47,514
'00676R,富邦臺灣加權反1,7.67,7.67,7.6,7.6,4904
'00677U,富邦VIX,6.72,6.74,6.7,6.71,31445
'00678,群益NBI生技,21.67,21.74,21.66,21.71,458
'00679B,元大美債20年,36.91,36.91,36.81,36.84,351
'00680L,元大美債20正2,19.26,19.26,19.26,19.26,0
'00681R,元大美債20反1,19.19,19.2,19.19,19.2,1000
'00682U,元大美元指數,18.53,18.53,18.5,18.5,49
'00683L,元大美元指數正2,17.44,17.44,17.39,17.43,824
'00684R,元大美元指數反1,20.63,20.64,20.63,20.63,4
'00685L,群益臺灣加權正2,13.32,13.56,13.32,13.56,36
'00686R,群益臺灣加權反1,8.37,8.37,8.3,8.3,268
'00687B,國泰20年美債,38.4,38.4,38.33,38.34,415
'00688L,國泰20年美債正2,19.2,19.2,19.17,19.19,211
'00689R,國泰20年美債反1,19.49,19.54,19.49,19.49,217
'00690,兆豐藍籌30,22.05,22.29,22.05,22.27,555
'00691R,兆豐藍籌30反1,16.78,16.78,16.69,16.69,11
'00692,富邦公司治理,21.2,21.33,21.2,21.33,808
'00693U,華頓S&P黃豆,19.71,19.71,19.65,19.67,218
